Nifty 50,NIFTY
Nifty Bank,BANKNIFTY
Nifty Financial Services,FINNIFTY
Nifty Midcap Select,MIDCPNIFTY
AARTI INDUSTRIES LIMITED,AARTIIND
ABB INDIA LIMITED,ABB
ABBOTT INDIA LIMITED,ABBOTINDIA
ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL
ADITYA BIRLA FASHION AND RETAIL LIMITED,ABFRL
ACC LIMITED,ACC
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
ALKEM LABORATORIES LIMITED,ALKEM
AMARA RAJA BATTERIES LIMITED,AMARAJABAT
AMBUJA CEMENTS LIMITED,AMBUJACEM
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
APOLLO TYRES LIMITED,APOLLOTYRE
ASHOK LEYLAND LIMITED,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT
ASTRAL LIMITED,ASTRAL
ATUL LIMITED,ATUL
AU SMALL FINANCE BANK LIMITED,AUBANK
AUROBINDO PHARMA LIMITED,AUROPHARMA
AXIS BANK LIMITED,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO
BAJAJ FINSERV LIMITED,BAJAJFINSV
BAJAJ FINANCE LIMITED,BAJFINANCE
BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN
BANDHAN BANK LIMITED,BANDHANBNK
BANK OF BARODA,BANKBARODA
BATA INDIA LIMITED,BATAINDIA
BHARAT ELECTRONICS LIMITED,BEL
BERGER PAINTS (I) LIMITED,BERGEPAINT
BHARAT FORGE LIMITED,BHARATFORG
BHARTI AIRTEL LIMITED,BHARTIARTL
BHARAT HEAVY ELECTRICALS LIMITED,BHEL
BIOCON LIMITED,BIOCON
BOSCH LIMITED,BOSCHLTD
BHARAT PETROLEUM CORPORATION LIMITED,BPCL
BRITANNIA INDUSTRIES LIMITED,BRITANNIA
BIRLASOFT LIMITED,BSOFT
CADILA HEALTHCARE LIMITED,CADILAHC
CANARA BANK,CANBK
CAN FIN HOMES LIMITED,CANFINHOME
CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBLFERT
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
CIPLA LIMITED,CIPLA
COAL INDIA LIMITED,COALINDIA
COFORGE LIMITED,COFORGE
COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
CONTAINER CORPORATION OF INDIA LIMITED,CONCOR
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON
CITY UNION BANK LIMITED,CUB
CUMMINS INDIA LIMITED,CUMMINSIND
DABUR INDIA LIMITED,DABUR
DALMIA BHARAT LIMITED,DALBHARAT
DEEPAK NITRITE LIMITED,DEEPAKNTR
DELTA CORP LIMITED,DELTACORP
DIVI'S LABORATORIES LIMITED,DIVISLAB
DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON
DLF LIMITED,DLF
DR. REDDY'S LABORATORIES LIMITED,DRREDDY
EICHER MOTORS LIMITED,EICHERMOT
ESCORTS LIMITED,ESCORTS
EXIDE INDUSTRIES LIMITED,EXIDEIND
THE FEDERAL BANKÆ LIMITED,FEDERALBNK
FIRSTSOURCE SOLUTIONS LIMITED,FSL
GAIL (INDIA) LIMITED,GAIL
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
GMR INFRASTRUCTURE LIMITED,GMRINFRA
GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,GNFC
GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP
GODREJ PROPERTIES LIMITED,GODREJPROP
GRANULES INDIA LIMITED,GRANULES
GRASIM INDUSTRIES LIMITED,GRASIM
GUJARAT STATE PETRONET LIMITED,GSPL
GUJARAT GAS LIMITED,GUJGASLTD
HINDUSTAN AERONAUTICS LIMITED,HAL
HAVELLS INDIA LIMITED,HAVELLS
HCL TECHNOLOGIES LIMITED,HCLTECH
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,HDFC
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFCAMC
HDFC BANK LIMITED,HDFCBANK
HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
HERO MOTOCORP LIMITED,HEROMOTOCO
HINDALCO INDUSTRIES LIMITED,HINDALCO
HINDUSTAN COPPER LIMITED,HINDCOPPER
HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO
HINDUSTAN UNILEVER LIMITED,HINDUNILVR
HONEYWELL AUTOMATION INDIA LIMITED,HONAUT
INDIABULLS HOUSING FINANCE LIMITED,IBULHSGFIN
ICICI BANK LIMITED,ICICIBANK
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICIGI
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
VODAFONE IDEA LIMITED,IDEA
IDFC LIMITED,IDFC
IDFC FIRST BANK LIMITED,IDFCFIRSTB
INDIAN ENERGY EXCHANGE LIMITED,IEX
INDRAPRASTHA GAS LIMITED,IGL
THE INDIAN HOTELS COMPANY LIMITED,INDHOTEL
THE INDIA CEMENTS LIMITED,INDIACEM
INDIAMART INTERMESH LIMITED,INDIAMART
INTERGLOBE AVIATION LIMITED,INDIGO
INDUSIND BANK LIMITED,INDUSINDBK
INDUS TOWERS LIMITED,INDUSTOWER
INFOSYS LIMITED,INFY
INTELLECT DESIGN ARENA LIMITED,INTELLECT
INDIAN OIL CORPORATION LIMITED,IOC
IPCA LABORATORIES LIMITED,IPCALAB
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,IRCTC
ITC LIMITED,ITC
JINDAL STEEL & POWER LIMITED,JINDALSTEL
JK CEMENT LIMITED,JKCEMENT
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LIMITED,JUBLFOOD
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
L&T FINANCE HOLDINGS LIMITED,L&TFH
